message_id,cleaned_text,timeline
129411,"مامانم زنگ زده داری میای برام قرص جوشان مولتی ویتامین بگیر ، گفتم مامان یادمه تازه برات گرفتم تموم شده !؟
فرمودن بله میندازم تو آب خنک بجای نوشابه با غذام میخورم !!  :)))))))",timeline_1
129412,"به بابام میگم: مدرسه که میرفتم، همیشه وقتی کفشامو پام میکردم به خودم میگفتم نگران نباش، مدرسه تموم میشه،برمیگردی خونه، تو از پس امروز برمیای
هنوزم وقتی می‌خوام برم سرکار همینجوریم
هم مدرسه رفتن برام سخت بود
هم دانشگاه رفتن
هم الان سرکار رفتن
منم و اضطراب و پوست کلفتم
^Queen Bee",timeline_1
129413,"اگه دانشجویی، اینو از دست نده!
فقط ۱۰ روز تا بسته شدن ثبت‌نام
طرح پژوهانه همراه اول
حمایت از پایان‌نامه و رساله
اتصال مستقیم پژوهش به صنعت واقعی
گرنت تا ۵۴۰ میلیون تومان
این فرصت حداقل تا یک سال دیگه تکرار نمی‌شه!
مهلت ثبت‌نام: ۱۵ دی ۱۴۰۴
جزئیات و ثبت‌نام:

مخصوص دانشجویان ارشد و دکتری
گرنت
پژوهش
دانشجوی_ارشد
دکتری",timeline_1
129414,خیلی جدی ادم می‌تونه هر لحظه ارزوی مرگ کنه و توی همون لحظات در حال خوندن زبان و کار کردن روی مقاله و فیکس کردن جلسات تراپی‌ش و اماده کردن شام و خرید یه موس برای سیستمش باشه.,timeline_1
129334,من چطوری میتونم از gemini شکایت کنم؟!؟,timeline_1
129343,"چه جالب!
الان برگشتم دیدم دیگه خیلی وقته رویاپردازی نمیکنم؛ درباره موفقیت های شغلی آینده م، درباره خونه آینده م، درباره بچه هام، درباره پارتنر آینده م، درباره سفرهای آینده م
چقد عجیب که هیچ آینده ای و هیچ امیدی به نظرم وجود نداره",timeline_1
129346,"من ریدم تو طلا و دلار و نقره و اول و اخر این جوونی که من به جای فکر به تفریح و  سفر ،باید کانالای تحلیل طلا و دلار رو چک کم
^موکا با سیروپ فندق",timeline_1
129348,"مریضم یه خانم بود بچه شو آورده بود با خودش
تموم مدت که براش کار میکردم این بچه زل زده بود به من.
کارم که تموم شد پرسید: تو ممد قلی ای؟
-Queen Bee",timeline_1
129349,"رفیقمون سه ماه پیش پس‌اندازش رو که طلا بوده رو داده یه آپارتمان ۴۰ متری خریده، امروز حساب میکردیم تا الان صبر کرده بود میتونست یه ۶۰ متری بخره!
-",timeline_1
129350,"پدربزرگم وقتی ۹ سالش بود افتاد تو رودخونه. یه دختر ۱۹ ساله پرید و نجاتش داد.پدربزرگم بین هشیاری و بیهوشی، عاشق دختره شد.
اون دختره مادر بزرگم بود. ۴۳ سال باهم زندگی کردن. دعای پدربزرگم این بود که زودتر بمیره، چون تحمل جای خالی عشقش رو نداشت؛ و دقیقاً هفت سال هم زودتر از دنیا رفت.",timeline_1
